outcome	Atrial_fibrillation_PheCode_427_21	Congestive_heart_failure_CHF_NOS_PheCode_428_1	Coronary_atherosclerosis_PheCode_411_4	Hypertensive_heart_disease_PheCode_401_21	Myocardial_infarction_PheCode_411_2	Other_cardiac_conduction_disorders_PheCode_426_8	Alopecia_PheCode_704_1	Atopic_contact_dermatitis_due_to_other_or_unspecified_PheCode_939	Chronic_dermatitis_due_to_solar_radiation_PheCode_938_2	Contact_dermatitis_and_other_eczema_due_to_plants_except_food_PheCode_931	Rosacea_PheCode_695_3	Vitiligo_PheCode_694_1	Cholelithiasis_PheCode_574_1	Chronic_hepatitis_PheCode_70_4	Chronic_liver_disease_and_cirrhosis_PheCode_571	Chronic_pancreatitis_PheCode_577_2	Diverticulosis_and_diverticulitis_PheCode_562	Esophagitis_GERD_and_related_diseases_PheCode_530_1	Diabetic_retinopathy_PheCode_250_7	Disorders_of_refraction_and_accommodation_blindness_and_low_vision_PheCode_367	Glaucoma	Macular_degeneration	Myopia_PheCode_367_1	Senile_cataract_PheCode_366_2	Acquired_hemolytic_anemias_PheCode_283	Aplastic_anemia_PheCode_284	Hypercoagulable_state_PheCode_286_8	Pernicious_anemia_PheCode_281_11	Primary_hypercoagulable_state_PheCode_286_81	Primary_thrombocytopenia_PheCode_287_31	Ankylosing_spondylitis_PheCode_715_2	Inflammatory_bowel_disease_and_other_gasteroenteritis_and_colitis_PheCode_555	Psoriasis_PheCode_696_4	Rheumatoid_arthritis_PheCode_714_1	Sarcoidosis_PheCode_697	Systemic_lupus_erythematosus_PheCode_695_42	Acquired_hypothyroidism_PheCode_244_2	Gout_PheCode_274_1	Graves_disease_PheCode_242_1	Morbid_obesity_PheCode_278_11	Type_2_diabetes_PheCode_250_2	Unspecified_disorder_of_lipoid_metabolism_PheCode_272_9	Intervertebral_disc_disorders_PheCode_722	Osteitis_deformans_Paget_s_disease_of_bone_PheCode_731_1	Osteoarthritis	Osteochondropathies_PheCode_732	Osteoporosis_PheCode_743_1	Unspecified_polyarthropathy_or_polyarthritis_PheCode_716_1	Dementia_includes_Alzheimer_s_Vascular_etc	Epilepsy_recurrent_seizures_convulsions_PheCode_345	Hereditary_and_idiopathic_peripheral_neuropathy_PheCode_356	Migraine_PheCode_340	Multiple_sclerosis	Parkinson_s_disease	Calculus_of_kidney_PheCode_594_1	Chronic_renal_failure_CKD_PheCode_585_3	Glomerulonephritis_PheCode_580_1	Nephrotic_syndrome_without_mention_of_glomerulonephritis_PheCode_580_2	Renal_failure_NOS_PheCode_585_2	Urinary_tract_infection_PheCode_591	Asthma	Bronchiectasis_PheCode_496_3	Chronic_airway_obstruction_PheCode_496	Emphysema_PheCode_496_1	Obstructive_sleep_apnea_PheCode_327_32	Postinflammatory_pulmonary_fibrosis_PheCode_502	Atherosclerosis_PheCode_440	Blood_clot_pulmonary_embolism_deep_vein_thrombosis_DVT	Cerebral_aneurysm_PheCode_433_5	Deep_vein_thrombosis_DVT_PheCode_452_2	Occlusion_of_cerebral_arteries_with_cerebral_infarction_PheCode_433_11	Other_specified_peripheral_vascular_disease_PheCode_443_8
Atrial_fibrillation_PheCode_427_21	1	0.0187448283762996	0.0240918824954714	0.0154561760515241	0.0616637837048295	0.000310552874721359	-0.00482579351444128	0.00469567275145496	0.000787013325491111	-0.00260177995110723	0.00697624557609763	-0.000303271078389968	0.0130001015193227	-0.0027931506035369	0.00970553929897839	0.00666273186117696	0.0202311065344605	0.0182662624508853	0.0102698622883717	0.0083792409374542	-0.00129128728106028	-0.00578290768999672	0.00546161020562343	0.030928685439101	-0.00149538134937512	0.00992081091510272	0.0117234833929826	0.00216364235151038	-8.9249286703302e-05	0.00316402975436899	0.00691001751277535	0.00360322224943178	0.00722488149621181	0.00483353944598354	0.00293077587132373	0.00264491695409368	-0.00358065517193187	0.023931560456823	0.0074141874000839	0.0412285714567011	0.0423911557091316	0.00442478731082261	0.00369003320875988	0.00437781282454266	0.00780271593453138	0.00117418338775404	0.0084704726275311	-0.000372346542369278	0.00415404234758842	0.0173998943090416	0.0198445489395437	0.00413485655210023	0.00581888654634588	0.00390910260784865	0.00681354322580597	0.048172752641874	0.00315717994924383	0.0122957490259482	0.0307166572505233	0.0304966793519113	0.0059476434317937	0.00398211359370439	0.0106154118194647	-0.00133333149621281	0.0390239341884436	0.00521937408415626	0.0119320823807068	0.0166732944231298	0.00563935722849276	0.00302134545601702	-0.00343009425160283	0.0167185048243308
Congestive_heart_failure_CHF_NOS_PheCode_428_1	0.0187448283762996	1	0.375304480878151	0.337055297707621	0.246971231668523	0.0511517851766547	0.000110212890744579	0.0551623402739069	0.0119663130680585	-0.00111793619180455	-0.000210649254604994	0.0022883580000743	0.0678850523670266	0.0106677429228752	0.0607226370421742	0.0213010255167647	0.0557372430658971	0.0954066331227531	0.199026081879293	0.151987230746	0.0194438130857227	0.0321067677718081	0.0492680008267346	0.118558753196227	0.0160082084372152	0.0469603230248399	0.0171378680589084	0.0107485753923018	0.0148827826597517	0.0138087627289753	0.00829629759586498	-0.00152186851563149	0.0210639062643641	0.0335224404301474	0.00835265570300213	0.0133208021195402	0.019735179671255	0.105768356912986	0.00871419368637273	0.151090208559747	0.160059807860748	0.014110040743895	0.066777473075934	0.0113297660091989	0.0249606205253752	0.00359694048021453	0.0262969284855438	0.0171489190703633	0.0135489423383003	0.0452344366590234	0.087946056606156	0.018399268441311	0.00182755773200559	0.00860954256947681	0.0310797031673993	0.196924133579699	0.0252421256533807	0.0483173851469675	0.0886808349467039	0.120198206726795	0.0494325706340303	0.0168286314548918	0.281417573927687	0.0605718720112292	0.136969673160827	0.0559817090017651	0.195988995724215	0.0525061187700108	0.00972552850941681	0.0714536842288535	0.0552648932612682	0.0522311187754797
Coronary_atherosclerosis_PheCode_411_4	0.0240918824954714	0.375304480878151	1	0.259235918366262	0.380248230939249	0.0306761102261735	-0.00276572357212726	0.0383094756039376	0.0282293746507774	-0.00152832785974342	-0.00536438212957037	0.00346477058962626	0.073453384134595	0.00996412787204394	0.062557762476432	0.0252934217055034	0.0648639674479404	0.143990344386763	0.197560417359454	0.181316261208747	0.0194656909712208	0.0257686757586827	0.0438932571943552	0.139714139963649	0.013023806859332	0.0391840528922311	0.0139910716809031	0.00869649152196577	0.0138651942127647	0.0139082161983503	0.0119688781456923	0.0042168120298742	0.0242398623247931	0.0309660868129237	0.00508884682967806	0.00670629321891949	0.0131881048456319	0.0851942157881123	0.00471118047203969	0.103714542757966	0.190939679765674	0.0193894439879515	0.0903236363082503	0.00705861701378068	0.0220590201582315	0.00618536199908829	0.0216026599276961	0.0136590893885609	0.0243781844809543	0.052158312642901	0.0894271695112816	0.0466063018401896	-0.00417079757145582	0.00383082339537864	0.0544090600899981	0.162572191964577	0.0129847512587514	0.0217499346699713	0.0617123803479396	0.0959278240491081	0.0328457756150125	0.00691532409803364	0.255936228237887	0.0609451343344682	0.133447555444648	0.042034354971775	0.257121055445313	0.0426954623425736	0.0141603340098049	0.0454928183863931	0.0809486614839986	0.0705932288790577
Hypertensive_heart_disease_PheCode_401_21	0.0154561760515241	0.337055297707621	0.259235918366262	1	0.167098527194511	0.0451269091441892	-0.00058516240515508	0.0426545114198025	0.0204301404248482	0.00253223711001277	0.00120308098423115	0.000819808651500292	0.0460554681183805	0.0102949180295372	0.0423948185906026	0.0176593439775424	0.0503216428768395	0.0720007426395035	0.121135012095487	0.114783732991073	0.0112629883759899	0.0235178558569742	0.0338764082402227	0.0912247879647008	0.00907606017710536	0.0299215312216883	0.00330685507720562	0.00367515056679582	0.00221709022354105	0.00874092349172579	0.00996381166615534	0.00100419516349247	0.0151464280087139	0.0180196540021163	0.0096551031657018	0.00547749557290008	0.0123711145091571	0.0597181939908144	0.00578765262321994	0.0963849878759561	0.10611857521421	0.0131987069283964	0.0552831367979907	0.00120933496622303	0.0137732950090956	0.00251465542271855	0.0124544552216534	0.00829884410853243	0.00754136248962773	0.0261685473712162	0.0587699583646319	0.0207753750240684	0.00305213911831933	0.0111826963574866	0.0365112374845133	0.0905454159425779	0.0016352422040662	0.016845415039677	0.0294527234231139	0.0820059748382034	0.0302501670186711	0.0088568532797896	0.172881385810959	0.0395390606173363	0.0939459062669881	0.0311208597338345	0.13574935055536	0.0237584358695854	0.00778466831331033	0.0404067375622143	0.036594371002502	0.0406218247742852
Myocardial_infarction_PheCode_411_2	0.0616637837048295	0.246971231668523	0.380248230939249	0.167098527194511	1	0.0444433571926572	-0.000309401055140588	0.0525955384354425	0.00910239450960577	-0.00106726673325554	-0.00321872472398659	-0.00145244619494639	0.0774512087545789	0.0120865493441301	0.0531058084084527	0.0331718450246354	0.0662039304228169	0.131473054805397	0.112503061029636	0.106509888757	0.00659754755081398	0.0170602520079224	0.0337945770016176	0.134432565654251	0.0151893428626382	0.0441563951410929	0.0239233695837282	0.00243653779301919	0.0195873371743803	0.0135926321999381	0.00518996618802098	0.00520857511233587	0.0163377776329104	0.0263872408413249	0.00485697972702032	0.0164167960522317	0.0150236730259213	0.0871801496342128	0.00252121932006826	0.0790411075793625	0.161086727018276	0.0139296716293535	0.0633463129572729	0.00453284489901636	0.00763375135921289	-0.00060492551796011	0.0242092451719074	0.0142269645985747	0.00905310560867773	0.0697724432334	0.0707336175343865	0.0285115751636424	0.000476777810319613	0.00149788592762411	0.0494433986725836	0.184441877236823	0.0255408937705979	0.0345892815026232	0.0906094259086781	0.113313820379365	0.0190620140132333	0.011230214140919	0.154855638497234	0.0555480324320414	0.094713265170812	0.0359617509325521	0.161433378458673	0.0389750666392042	0.016543425490067	0.0418914550165573	0.0455528740684402	0.0723932469874649
Other_cardiac_conduction_disorders_PheCode_426_8	0.000310552874721359	0.0511517851766547	0.0306761102261735	0.0451269091441892	0.0444433571926572	1	-0.00491161457583048	0.00982790119198276	-0.00226785995490207	0.00347224510981002	0.000644263341566903	-0.00337500910189458	0.0210991886595394	0.00831551117879326	0.0306052982254236	0.0113834646834139	0.021447184136724	0.0307604047486761	0.0187335825650055	0.0179927880340509	0.00149270940871628	-0.000358466088914252	0.0115545613300969	0.016390126651989	0.00146224805588328	0.027310450883257	0.0109480170957839	-0.00495017727410062	0.0107904750483311	0.00728983917589299	0.00333424995743041	0.00528447089156327	0.000810281865369584	0.000424911079284501	0.00722181573678655	0.00502618352881899	0.00967509413404604	0.018459976360237	0.00406425842761774	0.0139477592308157	0.0236941610220645	0.00588332343038942	0.0133183627707043	-0.00212815236679112	0.00765756988906115	0.00135326517614821	0.0106379869228889	0.00210323124974871	0.00142587279398529	0.0194484219650524	0.020729985556679	0.0142360944385223	0.00458073331356075	0.00534434194694955	0.0124779928547975	0.040308864013716	0.00666641758135622	0.0161647961658248	0.0239424869207267	0.0354656663793572	0.00960472006404604	0.015687437441087	0.0270333742960722	0.020301929309604	0.0170905611997478	0.0116618882614252	0.0273147578029424	0.0100479147718935	-0.000384187654588372	0.00573441715723775	0.00556760405044703	0.00568463015902549
Alopecia_PheCode_704_1	-0.00482579351444128	0.000110212890744579	-0.00276572357212726	-0.00058516240515508	-0.000309401055140588	-0.00491161457583048	1	0.0617425339185133	-0.00413963668941655	0.00486740124194994	0.0196643014484675	0.0169602571861054	0.0108892612678312	0.00446866263530789	0.0059814930273024	-0.00427836048527829	0.0111591599802189	0.0289469002993158	-0.00462482829051266	0.00960676855475292	-0.00354989083872618	0.00556040938306426	0.00771417719851934	0.0181562292677347	-0.00207580809146148	0.00186341306726768	0.00749257369089875	0.000491818112773684	0.00375194061849916	-0.00109779626302567	0.00210486970790768	0.0100232762493454	0.00929603465825936	0.0014260888138178	0.0134686239285602	0.0309942865412548	0.00912337117226885	0.00574427872682084	0.00708625378954633	0.00234161962743741	0.00144870356275957	-0.00119420474507725	0.0254785951054213	-0.00162696390070087	0.00438133419233699	-0.00313489901823826	0.0100464776387569	0.00214731654588071	0.0034635554203098	0.00388328661430345	0.0131682608300275	0.00723740973829807	0.00777494004965013	0.00720292886022517	0.000512065091904711	0.00362350300789637	0.00709575282081294	0.00594501942633519	0.00423162494162472	0.0125652204742264	0.0180378961042908	0.00433333074766531	-0.00119300646950489	-0.000624832050540036	0.0225290625150033	0.0039794229193309	0.00160922587654981	0.000259149928566772	0.00508165784028341	0.00303279869091102	0.000210066187423698	0.0011461392395138
Atopic_contact_dermatitis_due_to_other_or_unspecified_PheCode_939	0.00469567275145496	0.0551623402739069	0.0383094756039376	0.0426545114198025	0.0525955384354425	0.00982790119198276	0.0617425339185133	1	0.0417045965445646	0.056513837722587	0.0828849925001889	0.03907582869718	0.0472046187337913	0.0203347939992973	0.0581477139597013	0.022406785631032	0.0789794345123663	0.130419167100389	0.0295172044374389	0.123166210030603	0.0147195147228134	0.018912422249785	0.0661981301065435	0.134479629396537	0.00768986630789325	0.032296077135735	0.0249349885098813	0.00885999160004629	0.0212887987422535	0.0123454921609322	0.017310975010364	0.0299416220838923	0.133808349553876	0.0481306014675439	0.0242869953548634	0.0320000311684376	0.0142079939356548	0.0455654944684889	0.0182108177462088	0.0605525206904365	0.0490718388198617	0.0178561999681028	0.114500424341543	0.00349439615938024	0.030133131258019	0.00489225567877711	0.0512048668173148	0.019639739783953	0.0164726277303752	0.0441376301816767	0.0945352472232497	0.0495837076172924	0.0191580318701799	0.010945104924788	0.0357754371603737	0.0476920881640946	0.0193053864325944	0.0196365039665135	0.0283576814519664	0.102969746250291	0.099314308854641	0.0245304955881505	0.0794524182547408	0.0329221613924134	0.0920861545023998	0.0365603493388943	0.0373900169750797	0.0190870656282891	0.0072809916604425	0.0334006727304716	0.00906735076789255	0.0233566861148325
Chronic_dermatitis_due_to_solar_radiation_PheCode_938_2	0.000787013325491111	0.0119663130680585	0.0282293746507774	0.0204301404248482	0.00910239450960577	-0.00226785995490207	-0.00413963668941655	0.0417045965445646	1	-0.000155714740466217	0.0323518574947108	-0.00147087092588968	0.0171706587377728	0.00216088901567977	0.0115063794324099	-0.00267758923714718	0.0314525861001182	0.030530207834392	0.00717771359805144	0.0650235654871632	0.00767175930674648	0.00277177033093184	0.0212350755442547	0.0461879114555053	0.0010929711816052	0.00366759590010507	0.00365080668809195	0.00458206265874771	0.00327069351169133	0.000642632901815958	0.00729426853501059	0.00715518747527929	0.0118150179176547	0.00953317930236124	0.00196627518366431	0.0023983900790057	-0.00285604350349837	0.0151927991093251	-0.00242113941040942	0.00190182416566984	0.00784693238850928	0.0154771759736637	0.0315527059249122	-0.000235549447436355	0.00901830987028439	0.000640509194767409	0.00545382220065401	0.0050479142015171	0.000202784371576565	0.00413321998130119	0.0221026106782427	0.0181311500872981	0.00161485818129259	-0.00158711002539172	0.019671483134813	0.0172456794009439	0.00709297195942065	-0.000236094254465647	0.00120506821875932	0.0182671169595365	0.00296149456026529	0.0106881013606891	0.0245580281308061	0.0124728925830123	0.0195425331304398	0.00851490221320376	0.014864004167649	0.00768663069093269	0.00285069463097588	0.00432599062223184	0.00748008753581592	0.00406379693213389
Contact_dermatitis_and_other_eczema_due_to_plants_except_food_PheCode_931	-0.00260177995110723	-0.00111793619180455	-0.00152832785974342	0.00253223711001277	-0.00106726673325554	0.00347224510981002	0.00486740124194994	0.056513837722587	-0.000155714740466217	1	0.0071699784938804	0.00240078250078498	0.00376351827889813	0.00273608772530908	0.0113024768601778	0.00905321885256499	0.0122634259147609	0.0202066115574269	-0.000305210175148957	0.0198798586984974	0.00210067846826643	-0.00272954046470199	0.0105566334027467	0.0152479760532483	0.00133423300193132	0.0046061583399616	0.00348739007781944	-0.00104639391330095	0.00266084479805945	-0.0026292969830329	0.000421519545345215	-0.000947309517449824	-0.000825688560743101	0.00466753433131253	-0.000640753042751367	-0.00129528107700621	-0.00285177320311089	0.00213782284926455	0.00345698799508449	0.00032421296136717	-0.00108028410087385	0.00276216007876089	0.0214835845087041	0.00263571323190517	0.00116955539672782	0.00249932607496497	0.00440375952251461	0.00762756973170237	-0.00342833265515593	0.0044191703824679	0.00731449142117189	0.0075342298840245	-0.004729816145921	-0.00104826460046242	0.00886326093437495	-0.00531405723416187	0.00509802680712723	0.00224747310648982	0.00183454548106339	0.00669596376857798	0.0121607663665954	0.00256637398486967	0.000881320126485736	-0.0038245563004244	0.00251024977718654	-0.001322349263067	-0.00128473761773591	0.000825799376143202	0.00340321886532226	0.000989548149798462	-0.0034360563640161	0.00072689992790017
