field	value
title	Chronotype against MVP72 chronic disease panel
description	Processed manuscript-derived example with 22 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
analysis	mvp72
panel_id	mvp_72_chronic_disease_outcomes
exposure_id	Chronotype
exposure	Chronotype
iv_threshold	mvp72_primary
n_instruments	22
n_outcomes	72
outcome_panel	Atrial_fibrillation_PheCode_427_21, Congestive_heart_failure_CHF_NOS_PheCode_428_1, Coronary_atherosclerosis_PheCode_411_4, Hypertensive_heart_disease_PheCode_401_21, Myocardial_infarction_PheCode_411_2, Other_cardiac_conduction_disorders_PheCode_426_8, Alopecia_PheCode_704_1, Atopic_contact_dermatitis_due_to_other_or_unspecified_PheCode_939, Chronic_dermatitis_due_to_solar_radiation_PheCode_938_2, Contact_dermatitis_and_other_eczema_due_to_plants_except_food_PheCode_931, Rosacea_PheCode_695_3, Vitiligo_PheCode_694_1, Cholelithiasis_PheCode_574_1, Chronic_hepatitis_PheCode_70_4, Chronic_liver_disease_and_cirrhosis_PheCode_571, Chronic_pancreatitis_PheCode_577_2, Diverticulosis_and_diverticulitis_PheCode_562, Esophagitis_GERD_and_related_diseases_PheCode_530_1, Diabetic_retinopathy_PheCode_250_7, Disorders_of_refraction_and_accommodation_blindness_and_low_vision_PheCode_367, Glaucoma, Macular_degeneration, Myopia_PheCode_367_1, Senile_cataract_PheCode_366_2, Acquired_hemolytic_anemias_PheCode_283, Aplastic_anemia_PheCode_284, Hypercoagulable_state_PheCode_286_8, Pernicious_anemia_PheCode_281_11, Primary_hypercoagulable_state_PheCode_286_81, Primary_thrombocytopenia_PheCode_287_31, Ankylosing_spondylitis_PheCode_715_2, Inflammatory_bowel_disease_and_other_gasteroenteritis_and_colitis_PheCode_555, Psoriasis_PheCode_696_4, Rheumatoid_arthritis_PheCode_714_1, Sarcoidosis_PheCode_697, Systemic_lupus_erythematosus_PheCode_695_42, Acquired_hypothyroidism_PheCode_244_2, Gout_PheCode_274_1, Graves_disease_PheCode_242_1, Morbid_obesity_PheCode_278_11, Type_2_diabetes_PheCode_250_2, Unspecified_disorder_of_lipoid_metabolism_PheCode_272_9, Intervertebral_disc_disorders_PheCode_722, Osteitis_deformans_Paget_s_disease_of_bone_PheCode_731_1, Osteoarthritis, Osteochondropathies_PheCode_732, Osteoporosis_PheCode_743_1, Unspecified_polyarthropathy_or_polyarthritis_PheCode_716_1, Dementia_includes_Alzheimer_s_Vascular_etc, Epilepsy_recurrent_seizures_convulsions_PheCode_345, Hereditary_and_idiopathic_peripheral_neuropathy_PheCode_356, Migraine_PheCode_340, Multiple_sclerosis, Parkinson_s_disease, Calculus_of_kidney_PheCode_594_1, Chronic_renal_failure_CKD_PheCode_585_3, Glomerulonephritis_PheCode_580_1, Nephrotic_syndrome_without_mention_of_glomerulonephritis_PheCode_580_2, Renal_failure_NOS_PheCode_585_2, Urinary_tract_infection_PheCode_591, Asthma, Bronchiectasis_PheCode_496_3, Chronic_airway_obstruction_PheCode_496, Emphysema_PheCode_496_1, Obstructive_sleep_apnea_PheCode_327_32, Postinflammatory_pulmonary_fibrosis_PheCode_502, Atherosclerosis_PheCode_440, Blood_clot_pulmonary_embolism_deep_vein_thrombosis_DVT, Cerebral_aneurysm_PheCode_433_5, Deep_vein_thrombosis_DVT_PheCode_452_2, Occlusion_of_cerebral_arteries_with_cerebral_infarction_PheCode_433_11, Other_specified_peripheral_vascular_disease_PheCode_443_8
r_matrix_source	Supplementary Data 04 outcome correlation matrix
iv_set_source	Supplementary Data 03 harmonized complete-case instruments
sample_size_note	Some exposure sample-size metadata in Supplementary Data 01 were unavailable; missing exposure sample sizes in packaged MVP72 examples use the panel median of available exposure sample sizes for parser compatibility.
