outcome	domain	outcome_id	outcome_name
Atrial_fibrillation_PheCode_427_21	Cardiovascular/heart	Atrial.fibrillation..PheCode.427.21..4	Atrial fibrillation (PheCode 427.21)
Congestive_heart_failure_CHF_NOS_PheCode_428_1	Cardiovascular/heart	Congestive.heart.failure..CHF..NOS..PheCode.428.1..4	Congestive heart failure (CHF) NOS (PheCode 428.1)
Coronary_atherosclerosis_PheCode_411_4	Cardiovascular/heart	Coronary.atherosclerosis..PheCode.411.4..2	Coronary atherosclerosis (PheCode 411.4)
Hypertensive_heart_disease_PheCode_401_21	Cardiovascular/heart	Hypertensive.heart.disease..PheCode.401.21..4	Hypertensive heart disease (PheCode 401.21)
Myocardial_infarction_PheCode_411_2	Cardiovascular/heart	Myocardial.infarction..PheCode.411.2..1	Myocardial infarction (PheCode 411.2)
Other_cardiac_conduction_disorders_PheCode_426_8	Cardiovascular/heart	Other.cardiac.conduction.disorders..PheCode.426.8..1	Other cardiac conduction disorders (PheCode 426.8)
Alopecia_PheCode_704_1	Dermatologic	Alopecia..PheCode.704.1.	Alopecia (PheCode 704.1)
Atopic_contact_dermatitis_due_to_other_or_unspecified_PheCode_939	Dermatologic	Atopic.contact.dermatitis.due.to.other.or.unspecified..PheCode.939.	Atopic/contact dermatitis due to other or unspecified (PheCode 939)
Chronic_dermatitis_due_to_solar_radiation_PheCode_938_2	Dermatologic	Chronic.dermatitis.due.to.solar.radiation..PheCode.938.2..1	Chronic dermatitis due to solar radiation (PheCode 938.2)
Contact_dermatitis_and_other_eczema_due_to_plants_except_food_PheCode_931	Dermatologic	Contact.dermatitis.and.other.eczema.due.to.plants..except.food...PheCode.931..1	Contact dermatitis and other eczema due to plants [except food] (PheCode 931)
Rosacea_PheCode_695_3	Dermatologic	Rosacea..PheCode.695.3..1	Rosacea (PheCode 695.3)
Vitiligo_PheCode_694_1	Dermatologic	Vitiligo..PheCode.694.1..1	Vitiligo (PheCode 694.1)
Cholelithiasis_PheCode_574_1	Digestive/liver	Cholelithiasis..PheCode.574.1.	Cholelithiasis (PheCode 574.1)
Chronic_hepatitis_PheCode_70_4	Digestive/liver	Chronic.hepatitis..PheCode.70.4..1	Chronic hepatitis (PheCode 70.4)
Chronic_liver_disease_and_cirrhosis_PheCode_571	Digestive/liver	Chronic.liver.disease.and.cirrhosis..PheCode.571.	Chronic liver disease and cirrhosis (PheCode 571)
Chronic_pancreatitis_PheCode_577_2	Digestive/liver	Chronic.pancreatitis..PheCode.577.2..1	Chronic pancreatitis (PheCode 577.2)
Diverticulosis_and_diverticulitis_PheCode_562	Digestive/liver	Diverticulosis.and.diverticulitis..PheCode.562..1	Diverticulosis and diverticulitis (PheCode 562)
Esophagitis_GERD_and_related_diseases_PheCode_530_1	Digestive/liver	Esophagitis..GERD.and.related.diseases..PheCode.530.1.	Esophagitis, GERD and related diseases (PheCode 530.1)
Diabetic_retinopathy_PheCode_250_7	Eye/vision	Diabetic.retinopathy..PheCode.250.7..2	Diabetic retinopathy (PheCode 250.7)
Disorders_of_refraction_and_accommodation_blindness_and_low_vision_PheCode_367	Eye/vision	Disorders.of.refraction.and.accommodation..blindness.and.low.vision..PheCode.367..4	Disorders of refraction and accommodation; blindness and low vision (PheCode 367)
Glaucoma	Eye/vision	Glaucoma.9	Glaucoma
Macular_degeneration	Eye/vision	Macular.degeneration.3	Macular degeneration
Myopia_PheCode_367_1	Eye/vision	Myopia..PheCode.367.1..3	Myopia (PheCode 367.1)
Senile_cataract_PheCode_366_2	Eye/vision	Senile.cataract..PheCode.366.2.	Senile cataract (PheCode 366.2)
Acquired_hemolytic_anemias_PheCode_283	Hematologic	Acquired.hemolytic.anemias..PheCode.283..1	Acquired hemolytic anemias (PheCode 283)
Aplastic_anemia_PheCode_284	Hematologic	Aplastic.anemia..PheCode.284.	Aplastic anemia (PheCode 284)
Hypercoagulable_state_PheCode_286_8	Hematologic	Hypercoagulable.state..PheCode.286.8.	Hypercoagulable state (PheCode 286.8)
Pernicious_anemia_PheCode_281_11	Hematologic	Pernicious.anemia..PheCode.281.11..1	Pernicious anemia (PheCode 281.11)
Primary_hypercoagulable_state_PheCode_286_81	Hematologic	Primary.hypercoagulable.state..PheCode.286.81.	Primary hypercoagulable state (PheCode 286.81)
Primary_thrombocytopenia_PheCode_287_31	Hematologic	Primary.thrombocytopenia..PheCode.287.31..1	Primary thrombocytopenia (PheCode 287.31)
Ankylosing_spondylitis_PheCode_715_2	Inflammatory/autoimmune	Ankylosing.spondylitis..PheCode.715.2..2	Ankylosing spondylitis (PheCode 715.2)
Inflammatory_bowel_disease_and_other_gasteroenteritis_and_colitis_PheCode_555	Inflammatory/autoimmune	Inflammatory.bowel.disease.and.other.gasteroenteritis.and.colitis..PheCode.555.	Inflammatory bowel disease and other gasteroenteritis and colitis (PheCode 555)
Psoriasis_PheCode_696_4	Inflammatory/autoimmune	Psoriasis..PheCode.696.4..1	Psoriasis (PheCode 696.4)
Rheumatoid_arthritis_PheCode_714_1	Inflammatory/autoimmune	Rheumatoid.arthritis..PheCode.714.1..2	Rheumatoid arthritis (PheCode 714.1)
Sarcoidosis_PheCode_697	Inflammatory/autoimmune	Sarcoidosis..PheCode.697.	Sarcoidosis (PheCode 697)
Systemic_lupus_erythematosus_PheCode_695_42	Inflammatory/autoimmune	Systemic.lupus.erythematosus..PheCode.695.42..1	Systemic lupus erythematosus (PheCode 695.42)
Acquired_hypothyroidism_PheCode_244_2	Metabolic/endocrine	Acquired.hypothyroidism..PheCode.244.2.	Acquired hypothyroidism (PheCode 244.2)
Gout_PheCode_274_1	Metabolic/endocrine	Gout..PheCode.274.1..1	Gout (PheCode 274.1)
Graves_disease_PheCode_242_1	Metabolic/endocrine	Graves..disease..PheCode.242.1..1	Graves' disease (PheCode 242.1)
Morbid_obesity_PheCode_278_11	Metabolic/endocrine	Morbid.obesity..PheCode.278.11..1	Morbid obesity (PheCode 278.11)
Type_2_diabetes_PheCode_250_2	Metabolic/endocrine	Type.2.diabetes..PheCode.250.2.	Type 2 diabetes (PheCode 250.2)
Unspecified_disorder_of_lipoid_metabolism_PheCode_272_9	Metabolic/endocrine	Unspecified.disorder.of.lipoid.metabolism..PheCode.272.9..1	Unspecified disorder of lipoid metabolism (PheCode 272.9)
Intervertebral_disc_disorders_PheCode_722	Musculoskeletal	Intervertebral.disc.disorders..PheCode.722.	Intervertebral disc disorders (PheCode 722)
Osteitis_deformans_Paget_s_disease_of_bone_PheCode_731_1	Musculoskeletal	Osteitis.deformans..Paget.s.disease.of.bone...PheCode.731.1..1	Osteitis deformans [Paget's disease of bone] (PheCode 731.1)
Osteoarthritis	Musculoskeletal	Osteoarthritis.1	Osteoarthritis
Osteochondropathies_PheCode_732	Musculoskeletal	Osteochondropathies..PheCode.732..2	Osteochondropathies (PheCode 732)
Osteoporosis_PheCode_743_1	Musculoskeletal	Osteoporosis..PheCode.743.1..1	Osteoporosis (PheCode 743.1)
Unspecified_polyarthropathy_or_polyarthritis_PheCode_716_1	Musculoskeletal	Unspecified.polyarthropathy.or.polyarthritis..PheCode.716.1..1	Unspecified polyarthropathy or polyarthritis (PheCode 716.1)
Dementia_includes_Alzheimer_s_Vascular_etc	Neurological	Dementia..includes.Alzheimer.s..Vascular..etc...1	Dementia (includes Alzheimer's, Vascular, etc.)
Epilepsy_recurrent_seizures_convulsions_PheCode_345	Neurological	Epilepsy..recurrent.seizures..convulsions..PheCode.345.	Epilepsy, recurrent seizures, convulsions (PheCode 345)
Hereditary_and_idiopathic_peripheral_neuropathy_PheCode_356	Neurological	Hereditary.and.idiopathic.peripheral.neuropathy..PheCode.356.	Hereditary and idiopathic peripheral neuropathy (PheCode 356)
Migraine_PheCode_340	Neurological	Migraine..PheCode.340..4	Migraine (PheCode 340)
Multiple_sclerosis	Neurological	Multiple.sclerosis.2	Multiple sclerosis
Parkinson_s_disease	Neurological	Parkinson.s.disease.2	Parkinson's disease
Calculus_of_kidney_PheCode_594_1	Renal/urologic	Calculus.of.kidney..PheCode.594.1..1	Calculus of kidney (PheCode 594.1)
Chronic_renal_failure_CKD_PheCode_585_3	Renal/urologic	Chronic.renal.failure..CKD...PheCode.585.3.	Chronic renal failure [CKD] (PheCode 585.3)
Glomerulonephritis_PheCode_580_1	Renal/urologic	Glomerulonephritis..PheCode.580.1..1	Glomerulonephritis (PheCode 580.1)
Nephrotic_syndrome_without_mention_of_glomerulonephritis_PheCode_580_2	Renal/urologic	Nephrotic.syndrome.without.mention.of.glomerulonephritis..PheCode.580.2..1	Nephrotic syndrome without mention of glomerulonephritis (PheCode 580.2)
Renal_failure_NOS_PheCode_585_2	Renal/urologic	Renal.failure.NOS..PheCode.585.2.	Renal failure NOS (PheCode 585.2)
Urinary_tract_infection_PheCode_591	Renal/urologic	Urinary.tract.infection..PheCode.591..1	Urinary tract infection (PheCode 591)
Asthma	Respiratory	Asthma.1	Asthma
Bronchiectasis_PheCode_496_3	Respiratory	Bronchiectasis..PheCode.496.3..1	Bronchiectasis (PheCode 496.3)
Chronic_airway_obstruction_PheCode_496	Respiratory	Chronic.airway.obstruction..PheCode.496..3	Chronic airway obstruction (PheCode 496)
Emphysema_PheCode_496_1	Respiratory	Emphysema..PheCode.496.1.	Emphysema (PheCode 496.1)
Obstructive_sleep_apnea_PheCode_327_32	Respiratory	Obstructive.sleep.apnea..PheCode.327.32.	Obstructive sleep apnea (PheCode 327.32)
Postinflammatory_pulmonary_fibrosis_PheCode_502	Respiratory	Postinflammatory.pulmonary.fibrosis..PheCode.502.	Postinflammatory pulmonary fibrosis (PheCode 502)
Atherosclerosis_PheCode_440	Vascular/thrombotic	Atherosclerosis..PheCode.440..3	Atherosclerosis (PheCode 440)
