field	value
title	Water consumption corrected for coffee against Negative-control childhood maltreatment panel
description	Processed manuscript-derived example with 72 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
analysis	negative_control
panel_id	O3_original
exposure_id	Water_consumption_corrected_for_coffee
exposure	Water consumption corrected for coffee
iv_threshold	5e-07
n_instruments	72
n_outcomes	3
outcome_panel	Emotional_neglect, Physical_abuse, Sexual_abuse
r_matrix_source	Supplementary Data 04 outcome correlation matrix
iv_set_source	Supplementary Data 03 harmonized complete-case instruments
sample_size_note	Sample sizes are parsed from Supplementary Data 01 metadata.
